route,title,cluster,template,intent,primary_target,wave,mobile_note
/guides/mcb-keeps-tripping-test-sequence,MCB Keeps Tripping Test Sequence | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,1,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/mcb-keeps-tripping-common-causes,MCB Keeps Tripping Common Causes | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,1,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/fuse-keeps-blowing-guide,Fuse Keeps Blowing Guide | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,1,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/fuse-keeps-blowing-causes-and-fixes,Fuse Keeps Blowing Causes and Fixes | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,1,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/fuse-keeps-blowing-test-sequence,Fuse Keeps Blowing Test Sequence | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,1,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/fuse-keeps-blowing-common-causes,Fuse Keeps Blowing Common Causes | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,1,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/socket-not-working-guide,Socket Not Working Guide | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,1,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/socket-not-working-causes-and-fixes,Socket Not Working Causes and Fixes | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,1,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/socket-not-working-test-sequence,Socket Not Working Test Sequence | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,1,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/socket-not-working-common-causes,Socket Not Working Common Causes | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,1,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/light-switch-not-working-guide,Light Switch Not Working Guide | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,1,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/light-switch-not-working-causes-and-fixes,Light Switch Not Working Causes and Fixes | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,1,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/light-switch-not-working-test-sequence,Light Switch Not Working Test Sequence | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,1,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/light-switch-not-working-common-causes,Light Switch Not Working Common Causes | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,1,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/lights-flickering-guide,Lights Flickering Guide | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,1,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/lights-flickering-causes-and-fixes,Lights Flickering Causes and Fixes | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,1,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/lights-flickering-test-sequence,Lights Flickering Test Sequence | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,1,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/lights-flickering-common-causes,Lights Flickering Common Causes | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,1,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/warm-plug-or-socket-guide,Warm Plug or Socket Guide | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,1,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/warm-plug-or-socket-causes-and-fixes,Warm Plug or Socket Causes and Fixes | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,1,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/warm-plug-or-socket-test-sequence,Warm Plug or Socket Test Sequence | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,1,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/warm-plug-or-socket-common-causes,Warm Plug or Socket Common Causes | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,1,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/burning-smell-from-socket-guide,Burning Smell from Socket Guide | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,1,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/burning-smell-from-socket-causes-and-fixes,Burning Smell from Socket Causes and Fixes | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,1,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/burning-smell-from-socket-test-sequence,Burning Smell from Socket Test Sequence | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,1,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/burning-smell-from-socket-common-causes,Burning Smell from Socket Common Causes | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,1,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/electric-shower-keeps-tripping-guide,Electric Shower Keeps Tripping Guide | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,1,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/electric-shower-keeps-tripping-causes-and-fixes,Electric Shower Keeps Tripping Causes and Fixes | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,1,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/electric-shower-keeps-tripping-test-sequence,Electric Shower Keeps Tripping Test Sequence | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,1,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/electric-shower-keeps-tripping-common-causes,Electric Shower Keeps Tripping Common Causes | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,1,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/immersion-heater-not-working-guide,Immersion Heater Not Working Guide | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,1,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/immersion-heater-not-working-causes-and-fixes,Immersion Heater Not Working Causes and Fixes | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,1,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/immersion-heater-not-working-test-sequence,Immersion Heater Not Working Test Sequence | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,1,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/immersion-heater-not-working-common-causes,Immersion Heater Not Working Common Causes | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,1,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/smoke-detector-beeping-guide,Smoke Detector Beeping Guide | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,1,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/smoke-detector-beeping-causes-and-fixes,Smoke Detector Beeping Causes and Fixes | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,1,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/smoke-detector-beeping-test-sequence,Smoke Detector Beeping Test Sequence | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,1,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/smoke-detector-beeping-common-causes,Smoke Detector Beeping Common Causes | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,1,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/trip-switch-keeps-going-off-guide,Trip Switch Keeps Going Off Guide | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,2,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/trip-switch-keeps-going-off-causes-and-fixes,Trip Switch Keeps Going Off Causes and Fixes | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,2,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/trip-switch-keeps-going-off-test-sequence,Trip Switch Keeps Going Off Test Sequence | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,2,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/trip-switch-keeps-going-off-common-causes,Trip Switch Keeps Going Off Common Causes | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,2,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/partial-power-loss-guide,Partial Power Loss Guide | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,2,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/partial-power-loss-causes-and-fixes,Partial Power Loss Causes and Fixes | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,2,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/partial-power-loss-test-sequence,Partial Power Loss Test Sequence | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,2,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/partial-power-loss-common-causes,Partial Power Loss Common Causes | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,2,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/no-electricity-in-part-of-house-guide,No Electricity in Part of House Guide | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,2,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/no-electricity-in-part-of-house-causes-and-fixes,No Electricity in Part of House Causes and Fixes | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,2,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/no-electricity-in-part-of-house-test-sequence,No Electricity in Part of House Test Sequence | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,2,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/no-electricity-in-part-of-house-common-causes,No Electricity in Part of House Common Causes | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,2,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/electric-shock-from-tap-guide,Electric Shock from Tap Guide | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,2,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/electric-shock-from-tap-causes-and-fixes,Electric Shock from Tap Causes and Fixes | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,2,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/electric-shock-from-tap-test-sequence,Electric Shock from Tap Test Sequence | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,2,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/electric-shock-from-tap-common-causes,Electric Shock from Tap Common Causes | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,2,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/humming-consumer-unit-guide,Humming Consumer Unit Guide | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,2,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/humming-consumer-unit-causes-and-fixes,Humming Consumer Unit Causes and Fixes | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,2,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/humming-consumer-unit-test-sequence,Humming Consumer Unit Test Sequence | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,2,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/humming-consumer-unit-common-causes,Humming Consumer Unit Common Causes | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,2,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/loose-neutral-symptoms-guide,Loose Neutral Symptoms Guide | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,2,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/loose-neutral-symptoms-causes-and-fixes,Loose Neutral Symptoms Causes and Fixes | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,2,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/loose-neutral-symptoms-test-sequence,Loose Neutral Symptoms Test Sequence | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,2,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/loose-neutral-symptoms-common-causes,Loose Neutral Symptoms Common Causes | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,2,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/borrowed-neutral-fault-finding-guide,Borrowed Neutral Fault Finding Guide | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,2,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/borrowed-neutral-fault-finding-causes-and-fixes,Borrowed Neutral Fault Finding Causes and Fixes | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,2,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/borrowed-neutral-fault-finding-test-sequence,Borrowed Neutral Fault Finding Test Sequence | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,2,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/borrowed-neutral-fault-finding-common-causes,Borrowed Neutral Fault Finding Common Causes | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,2,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/high-earth-resistance-guide,High Earth Resistance Guide | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,2,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/high-earth-resistance-causes-and-fixes,High Earth Resistance Causes and Fixes | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,2,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/high-earth-resistance-test-sequence,High Earth Resistance Test Sequence | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,2,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/high-earth-resistance-common-causes,High Earth Resistance Common Causes | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,2,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/earth-loop-impedance-too-high-guide,Earth Loop Impedance Too High Guide | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,2,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/earth-loop-impedance-too-high-causes-and-fixes,Earth Loop Impedance Too High Causes and Fixes | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,2,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/earth-loop-impedance-too-high-test-sequence,Earth Loop Impedance Too High Test Sequence | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,2,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/earth-loop-impedance-too-high-common-causes,Earth Loop Impedance Too High Common Causes | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,2,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/insulation-resistance-too-low-guide,Insulation Resistance Too Low Guide | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,2,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/insulation-resistance-too-low-causes-and-fixes,Insulation Resistance Too Low Causes and Fixes | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,2,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/insulation-resistance-too-low-test-sequence,Insulation Resistance Too Low Test Sequence | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,2,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/insulation-resistance-too-low-common-causes,Insulation Resistance Too Low Common Causes | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,2,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/ring-final-continuity-fault-guide,Ring Final Continuity Fault Guide | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,2,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/ring-final-continuity-fault-causes-and-fixes,Ring Final Continuity Fault Causes and Fixes | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,2,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/ring-final-continuity-fault-test-sequence,Ring Final Continuity Fault Test Sequence | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,2,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/ring-final-continuity-fault-common-causes,Ring Final Continuity Fault Common Causes | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,2,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/polarity-fault-finding-guide,Polarity Fault Finding Guide | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,2,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/polarity-fault-finding-causes-and-fixes,Polarity Fault Finding Causes and Fixes | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,2,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/polarity-fault-finding-test-sequence,Polarity Fault Finding Test Sequence | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,2,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/polarity-fault-finding-common-causes,Polarity Fault Finding Common Causes | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,2,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/underfloor-heating-not-working-guide,Underfloor Heating Not Working Guide | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,2,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/underfloor-heating-not-working-causes-and-fixes,Underfloor Heating Not Working Causes and Fixes | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,2,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/underfloor-heating-not-working-test-sequence,Underfloor Heating Not Working Test Sequence | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,2,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/underfloor-heating-not-working-common-causes,Underfloor Heating Not Working Common Causes | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,2,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/outdoor-light-not-working-guide,Outdoor Light Not Working Guide | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,2,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/outdoor-light-not-working-causes-and-fixes,Outdoor Light Not Working Causes and Fixes | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,2,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/outdoor-light-not-working-test-sequence,Outdoor Light Not Working Test Sequence | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,2,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/outdoor-light-not-working-common-causes,Outdoor Light Not Working Common Causes | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,2,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/garage-power-not-working-guide,Garage Power Not Working Guide | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,2,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/garage-power-not-working-causes-and-fixes,Garage Power Not Working Causes and Fixes | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,2,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/garage-power-not-working-test-sequence,Garage Power Not Working Test Sequence | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,2,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
/guides/garage-power-not-working-common-causes,Garage Power Not Working Common Causes | Electrician Fault Guide,fault-diagnosis,GuideTemplate,problem-solving,AI tools + calculators + certificates,2,"Keep hero concise, key takeaway cards first, tap-friendly links, and one clear signup CTA above the fold."
